id,title,category,sub_category,caption,location,pages,description,keywords,dateNormalized,date,medium,size,creator,collection,provenance
TMI04025,Letter from W. A. Wyatt,memorabilia,wattles investigation,,,2,"Aspersions on character. Letter to Gurdon W. Wattles from W. A. Wyatt. Agreement to give Wattles a copy of paper concerning his character. Enclosed report references his stated net worth of at least $250,000; his properties, stocks and liabilities; and testiment to his high communitity standing.  1 sheet previously folded in twelfths. Typed in blue ink on The Bradstreet Company stationary with signature in black ink. 1 sheet previously folded in sixths. Typed in blue ink.",,1898-02-11,11 February 1898,printed,8 x 10 1/2 in.; 8 1/2 x 7 15/16 in.,"Wyatt, W. A.",Gurdon W. Wattles,Omaha Public Library
TMI04026,Letter from G. W. Wattles,memorabilia,wattles investigation,,,14,"Aspersions on character. Letter to Herman Kountz from Gurdon W. Wattles.  Wattles desires copy of report given to committee about his character, and chance to defend himself. References made to G. C. Porter, A. W. Swender, Frederick Planner, and Sumner Wallace. 14 sheets previously folded in thirds. Handwritten in pencil on Union Bank of Omaha Stationary.",,,,manuscript,5 13/16 x 9 3/8 in.,"Wattles, Gurdon W.",Gurdon W. Wattles,Omaha Public Library
TMI04027,Notes on Trans-Mississippi and International Exposition,memorabilia,wattles investigation,,,7,"Aspersions on character. Notes written by Gurdon W. Wattles. References to Wattles, Gurdon W.; Rosewater, Edward; Porter G. C.; 7 pages previously folded in hirds. First 3 pages of text read as follows: [Page 1] At the public meeting called at the Commercial Club Rooms on ___ to effect a preliminary organization of the Trans Mississippi and International Exposition some one unknown to me professed my name as a member of the board of directors. I had not at that time subscribed [?] to the stock but my name was put on the list for $100 unknown to me and I was elected as one of the elven directors. I was not present at this meeting and had not in any manner solicited or suggested my election. When the board met to organize on ___ I nominated Mr. J. T. Lindsay as President and he would have been unanimously elected but he declined to accept. Others were proposed but declined. At last after voting unanimously for my election [?] I conceded to accept temporarily the place. On numerous occasions I asked to be relieved but my request was refused.
When the permanent organization was agreed upon in an interview in 
[Page 2]
The Omaha Bee on ___ I advocated the election as president of some prominent and well known citizen like Senator Chars. T. Manderson and declined to serve longer in the position. In this and subsequent interviews I outlined the organization substantially as it was afterwards made. A committee was appointed by me at a meeting on ___ to nominate permanent officers. This committee consisted of E. Rosewater, Frank Murphy.
A short time before this committee was to report to the full board I was informed by Mr. Lindsay that some on had made charges against me concerning my business record in Carroll Iowa.  I at once placed in Wm. Lindsay's hands such evidence as I had at hand concerning the falsity of these charges and they were [illegible] before the nominating committee and I was informed that after condemnation
[Page 3]
I was unanimously nominated for the position of president. When the committee reported to the full board Mr. Lindsay took occasion to review the charges that had been made and to say that the committee had unanimously concluded they were false and that I was the best man for the place.
When the Executive Committee was organized it soon became evident that Mr. Rosewater and Mr. Hitchcock could not agree on any matters of business and their frequent dispatches retarded all transactions until I finally expressed myself in forcible language regarding their actions. Soon after this Mr. Hitchcock retired from the committee and Mr. Rosewater began to advocate numerous proposition to which meeting I nor the other members of the committee could agree. First he proposed the holding of the exposition in 1898 and proposed thatit be postponed tilll 1899. He opposed all steps to ",,,,manuscript,8 x 9 15/16 in.,"Wattles, Gurdon W.",Gurdon W. Wattles,Omaha Public Library
TMI04028,Notes,memorabilia,wattles investigation,,,3,Aspersions on character. Notes written by Gurdon W. Wattles. Lists specific claims against his character. 3 sheets previously folded in thirds. Handwritten in pencil on Union National Bank lined stationary.,,,,manuscript,5 13/16 x 9 1/2 in.,"Wattles, Gurdon W.",Gurdon W. Wattles,Omaha Public Library
TMI04029,Notarized Document Regarding the Character of Gurdon W. Wattles,memorabilia,wattles investigation,,,2,Aspersions on character. Notarized document. Gurdon W. Wattles describes his background and denies accusations against his character. Mentions A. W. Swender. 2 sheets previously folded in quarters. Notarzied by H. A. Olerich. Typed in blue ink on cream paper with red margin lines.,,1897-12-20,20 December 1897,typescript,8 x 12 15/16 in.,"Wattles, Gurdon W.",Gurdon W. Wattles,Omaha Public Library
TMI04030,Letter form Gurdon W. Wattles,memorabilia,wattles investigation,,,38,"Aspersions on character. Letter to Herman Kountze and Members of Special Exposition Committee, from Gurdon W. Wattles. Mentions A. W. Swender, G. C. Porter, Frederick Planner, and James Wattles.  Summary of affidavits. 37 sheets previously folded in quarters and 1 envelope. Blue ink on mimeograph paper.",,,,typescript,7 15/16 x 13 1/8 in.,"Wattles, Gurdon W.",Gurdon W. Wattles,Omaha Public Library
TMI04031,"Letter from Schmidt & Vollmer, Attorneys at Law",memorabilia,wattles investigation,,,,"Aspersions on character. Letter from Schmidt and Vollmer, Attorneys at Law, to Gurdon W. Wattles. Describes accusations by A. W. Swender that Wattles misrepresented the value of property. Schmidt and Vollmer attest to the falseness of the allegations. 1 sheet previously folded in sixths. Typed in blue ink on letterhead. Signed in pencil.",,1898-02-10,10 February 1898,typescript,8 1/4 x 10 15/16 in.,"Schmidt, W. O; Vollmer, Henry",Gurdon W. Wattles,Omaha Public Library
TMI04032,Letter from Charles Manderson,memorabilia,wattles investigation,,,,Aspersions on character. Letter to E. J. Hainer from Charles F. Manderson. Inquires as to the character of Gurdon W. Wattles. 1 sheet previously folded in quarters. Typed in blue ink on Burlington & Missouri River Railroad in Nebraska letterhead. Signed in black ink.,,1897-12-03,3 December 1897,typescript,8 1/8 x 10 5/8 in.,"Manderson, Charles F.",Gurdon W. Wattles,Omaha Public Library
TMI04033,Letter from E. Haines,memorabilia,wattles investigation,,,,Aspersions on character. Letter to Charles F. Manderson from E. J. Haines. Reply to request for information concerning Gurdon W. Wattles. Attests to Wattles' abilities and high character.  1 sheet previously folded in quarters. Typed in blue ink. Signed in pencil.,,1897-12-04,4 December 1897,typescript,8 3/16 x 10 11/16 in.,"Haines, E. J.",Gurdon W. Wattles,Omaha Public Library
TMI04034,Letter from Powers & Hayes,memorabilia,wattles investigation,,,2,Aspersions on character. Letter to A. J. Sutton from Powers and Hays Law Office. Agrees to procure attainable evidence regarding misrepresentations of  purchase value of Osmond State Bank stock allegedly made by Gurdon W. Wattles. 2 sheets previously folded in sixths. 1 sheet torn across bottom. Handwritten in black ink on lined Powers & Hays notepaper.,,1898-01-01,1 January 1898,manuscript,7 3/4 x 10 5/16; 7 3/4 x 7 1/4 in.,"Powers, Isaac Jr; Hays, John R.",Gurdon W. Wattles,Omaha Public Library
TMI04035,"Letter from Grace to Rummy, June 19, 1920",memorabilia,correspondence,,,3,"Letter to Rummy from Grace. Wattles, Gurdon W. - Miscellaneous papers. 1 sheet previously folded in quarters. Text Reads: LOCUST VALLEY, LONG ISLAND
GLEN COVE, 740
P.S. Kay sends her best.
PIPING ROCK CLUB
June 19 '20.
12.30 A.M.
Dearest Rummy:
Well, here we are to-gether again, meaning Kay & I of course. First of all, I must say that I hope you will be able to read this scrawl, but this pen is just abominable & I can't write with it at all.
Blunt called for me yesterday afternoon & stayed at
[page 2]
The house while we played some new records. I brought a whole pile with me & I wish you'd seen the stack of music I brought. I picked out alot [sic.] of the old ones too & brought about all the music I own.
We had a fine ride to Oyster Bay, went along Motar Parkway and did some speeding & altogether had a fine time. Blunt said that he is not going to take me home at that speed.  (Who said that?)
Last night Tom Fraser was over for dinner, because at the last minute, the brother of the
[page 3]
other girl who is with us, couldn't come until to-day, so we were shy a man. Hence Tom came to the rescue.
After dinner we saw a movie called ÒThe Diamond Necklace.Ó It was terrible, no point to it at all. Then we took up the rug in the hall, started the vic going & danced until eleven-thirty.
We came over here about an hour ago. Carmen (the other gir) & Donald, one of the boys are playing tennis. Kay & I have been playing & singing, as usual, then sat out in the sun, while it was shining just
[page 4]
came in to get warm.
[Illegible] & Blunt are out playing golf & Mrs. Doubleday will be here in a few min. then we are all going to have lunch to-gether. Oh, I must tell you, yesterday on the way over Blunt told me about having to play golf this morning with his aunt & not knowing how he was going to tear himself away from me for that long. And when we got to the house, his aunt said ""Well, Blunt did you break the sad news to Grace about to-morrow morning. I guess she'll survive all right but I don't know about you."" Now what do you think about that? Well, Margie, not a word, but I think Blunt really does like me, from all the things he has said, as well as things Kay & her aunt say. Well I know. I like him [illegible] And he's promised to write to me. Mrs. Doubleday has arrived so will have to write [illegible] in my next. Loads of love, Grace.
",,1920-06-19,19 June 1920,manuscript,7 1/4 x 12 1/2 in.,,Gurdon W. Wattles,Omaha Public Library
TMI04036,Quit Notice,memorabilia,ephemera,,,,"Quit notice delivered to D. J. Richards by George P. Furbush. Wattles, Gurdon W. Miscellaneous papers. 2 sheets previously folded in quarters; 1 sheet badly damaged, plus envelope.",,1897-07-27,27 July 1897,manuscript,2 at 8 7/16 x 7 in.; 1 at 3 x 2 15/16 in.,"Strong, R. G.; Furbush, George P.",Gurdon W. Wattles,Omaha Public Library
TMI04037,Letter to Gurdon W. Wattles,memorabilia,wattles investigation,,,2,"Aspersions on character; Letters from Carroll Iowa. Letter to Gurdon W. Wattles from J. B. Hungerford, editor of The Carroll Herald in Carroll Iowa. 2 sheets previously folded in sixths.",,1897-01-09,9 January 1897,manuscript,8 5/16 x 10 7/8 in.,"Hungerford, J. B.",Gurdon W. Wattles,Omaha Public Library
TMI04038,Letter Regarding the Character of Gurdon W. Wattles,memorabilia,wattles investigation,,,2,Aspersions on character; Letters from Carroll Iowa. Letter to Gurdon W. Wattles from M. A. Hoyt. 1 sheet previously folded in sixths.,,1897-11-20,20 November 1897,manuscript,8 5/16 x 10 5/8 in.,"Hoyt, M. A.",Gurdon W. Wattles,Omaha Public Library
TMI04039,Letter from H. W. Macomber,memorabilia,wattles investigation,,,3,Aspersions on character; Letters from Carroll Iowa. Letter to Gurdon W. Wattles from H. W. Macomber.  Mentions G. C. Porter of the Omaha Bee and A. W. Swender. 3 sheets previously folded in thirds. ,,1898-01-05,5 January 1898,manuscript,5 13/16 x 9 3/8 in.,"Macomber, H. W.",Gurdon W. Wattles,Omaha Public Library
TMI04040,Letter from J. P. Laughlin,memorabilia,wattles investigation,,,,"Aspersions on character; Letters from Carroll Iowa. Notarized document. J. P. Laughlin, county auditor, attesting to character of Gurdon W. Wattles. 1 sheet previously folded in quarters.",,1898-02-10,10 February 1898,manuscript,8 3/16 x 10 3/4 in.,"Laughlin, J. P.",Gurdon W. Wattles,Omaha Public Library
TMI04041,"Letter from C. L. Wattles, Carroll, Iowa",memorabilia,ephemera,,,2,"Wattle Family Correspondence. Letter to Gurdon W. Wattles from his brother, C. L. Wattles, requesting financial assistance. 2 sheets previously folded in sixths.",,1898-12-26,26 December 1898,typescript,8 1/2 x 11 in.,"Wattles, C. L.",Gurdon W. Wattles,Omaha Public Library
TMI04042,Letter from H. Koutze,memorabilia,wattles investigation,,,,Aspersions on character; Letters from Carroll Iowa. Letter to W. L. Cuberston from Herman Koutze regarding character of Gurdon W. Wattles. 1 sheet previously folded in twelfths.,,1897-11-16,16 November 1897,typescript,8 1/4 x 10 7/8 in.,"Kountze, Herman",Gurdon W. Wattles,Omaha Public Library
TMI04043,Letter from W. L. Culbertson,memorabilia,wattles investigation,,,3,"Aspersions on character; Letters from Carroll Iowa. Letter to Herman Kuntz from W. L. Culbertson, regarding character of Gurdon W. Wattles. 3 sheets previously folded in sixths.",,1897-11-19,19 November 1897,typescript,8 1/2 x 5 3/4 in.,"Culbertson, W. L.",Gurdon W. Wattles,Omaha Public Library
TMI04044,"""To Leave Carroll""",memorabilia,wattles investigation,,,2,Newspaper article from Carroll Iowa. Aspersions on character;  Letters from Carroll Iowa. Describes Gurdon W. Wattles departure from Iowa to become vice-president of Union National Bank of Omaha. Recto and verso of article clipping.,,,,newsprint,2 1/4 x 11 in.,,Gurdon W. Wattles,Omaha Public Library
TMI04045,Grand Banquet,memorabilia,wattles investigation,,,4,Newspaper article; Aspersions on character; Letters from Carroll Iowa. Describes farewell banquet thrown in honor of Gurdon W. Wattles upon his move from Iowa to Nebraska. Recto and verso of article clippings.,,1892-06-29,29 June 1892,newsprint,4 1/2 x 24 1/8 in.,,Gurdon W. Wattles,Omaha Public Library
TMI04046,Letter to H. Kountze,memorabilia,wattles investigation,,,5,Aspersions on character; Letters from Carroll Iowa Letter to Herman Kountze from J. B. Hungerford regarding character of Gurdon W. Wattles. 6 sheets previously folded in twelfths.,,1897-11-18,18 November 1897,manuscript,7 15/16 x 10 1/2 in.,"Hungerford, J. B.",Gurdon W. Wattles,Omaha Public Library
TMI04047,Affidavit from Iowa,memorabilia,wattles investigation,,,,"Aspersions on character; Affidavits from Carroll Iowa. Notarized document authored by J.E. Griffith, attesting to character of Gurdon W. Wattles. 1 sheet previously folded in sixths. ",,1898-02-09,9 February 1898,manuscript,5 7/16 x 8 1/2 in.,"Griffith, J. E.",Gurdon W. Wattles,Omaha Public Library
TMI04048,Affidavit from Iowa,memorabilia,wattles investigation,,,,Aspersions on character; Affidavits from Carroll Iowa. Notarized document from A. W. Patterson attesting to character of Gurdon W. Wattles. references to O. A. Kentner and Citizens State Bank of Carroll Iowa. 1 sheet previously folded in twelfths. ,,1898-02-11,11 February 1898,typescript,8 7/16 x 13 7/16 in.,"Patterson, A. W.",Gurdon W. Wattles,Omaha Public Library
TMI04049,Affidavit from Iowa,memorabilia,wattles investigation,,,2,"Aspersions on character; Affidavits from Carroll Iowa. Notarized document authored by G. W. Paine regarding cahracter of Gurdon W. Wattles. References to G. C. Porter, G. C. and A. W. Swender. 2 sheets previously folded in quarters. ",,1897-12-01,1 December 1897,typescript,8 3/8 x 13 7/16 in.,"Paine, G. W.",Gurdon W. Wattles,Omaha Public Library
