id,title,category,sub_category,caption,location,pages,description,keywords,dateNormalized,date,medium,size,creator,collection,provenance
TMI04324,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations. 1 sheet previously folded in half. Letter.,,1898-05-26,26 May 1898,typescript,5 1/2 x 9 1/8 in.,"Quincy, C. F.",,Omaha Public Library
TMI04325,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in sixths. Letter.,,1898-05-27,27 May 1898,typescript,8 1/16 x 10 5/16 in.,,,Omaha Public Library
TMI04326,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in sixths. Letter.,,1898-05-27,27 May 1898,typescript,8 7/16 x 10 7/8 in.,"Fowler, Thomas P.",,Omaha Public Library
TMI04327,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in sixths. Letter.,,1898-06-02,2 June 1898,typescript,8 1/8 x 10 11/16 in.,"Burley, D. E.",,Omaha Public Library
TMI04328,Opening Exercises RSVP,memorabilia,invitations,,,2,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in sixths. Letter.,,1898-05-20,20 May 1898,typescript,7 7/8 x 10 7/16 in.,"Merry, J. F.",,Omaha Public Library
TMI04329,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in sixths. Letter.,,1898-05-28,28 May 1898,typescript,8 3/16 x 10 11/16 in.,"Ranney, M. G.",,Omaha Public Library
TMI04330,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in sixths. Letter.,,1898-05-28,28 May 1898,typescript,8 3/16 x 11 in.,"Scott, Thomas K.",,Omaha Public Library
TMI04331,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in thirds. Letter.,,1898-06-04,4 June 1898,typescript,8 x 10 1/16 in.,"Caldwell, B. D.",,Omaha Public Library
TMI04332,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in sixths. Letter.,,1898-05-10,10 May 1898,typescript,7 15/16 x 10 7/16 in.,"Wattles, Gurdon W.",,Omaha Public Library
TMI04333,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in sixths. Letter.,,1898-05-30,30 May 1898,typescript,8 3/8 x 10 13/16 in.,"Swann, T. E.",,Omaha Public Library
TMI04334,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in sixths. Letter.,,1898-05-31,31 May 1898,typescript,8 1/4 x 10 7/8 in.,"Tupper, H. E.",,Omaha Public Library
TMI04335,Opening Exercises RSVP,memorabilia,invitations,,,2,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in sixths. Letter.,,1898-06-01,1 June 1898,typescript,8 1/4 x 10 3/4 in.,"Dunaway, T. F.",,Omaha Public Library
TMI04336,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in thirds. Letter.,,1898-05-31,31 May 1898,typescript,5 1/2 x 8 9/16 in.,"Trumbull, Frank",,Omaha Public Library
TMI04337,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in sixths. Letter.,,1898-05-27,27 May 1898,typescript,8 1/2 x 11 in.,"Footner, W. J.",,Omaha Public Library
TMI04338,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in sixths. Letter.,,1898-06-07,7 June 1898,typescript,8 1/2 x 10 7/8 in.,"Wadleigh, F. A.",,Omaha Public Library
TMI04339,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in thirds. Letter.,,1898-05-31,31 May 1898,typescript,5 7/16 x 8 3/8 in.,"Palmer, William J.",,Omaha Public Library
TMI04340,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in half. Letter.,,1898-05-31,31 May 1898,typescript,4 7/8 x 7 7/8 in.,,,Omaha Public Library
TMI04341,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in half. Letter.,,1898-06-02,2 June 1898,typescript,4 7/8 x 7 7/8 in.,,,Omaha Public Library
TMI04342,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in sixths. Letter.,,1898-05-31,31 May 1898,typescript,7 15/16 x 10 7/8 in.,"Peck, E. A.",,Omaha Public Library
TMI04343,Opening Exercises RSVP,memorabilia,invitations,,,2,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in sixths. Letter.,,1898-05-20,20 May 1898,typescript,8 x 10 7/16 in.,"Calahan, J. Y.",,Omaha Public Library
TMI04344,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in sixths. Letter.,,1898-05-26,26 May 1898,typescript,8 7/16 x 10 15/16 in.,"Kniskern, W. B.",,Omaha Public Library
TMI04345,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in sixths. Letter.,,1898-06-01,1 June 1898,typescript,7 7/8 x 10 3/8 in.,"Ritchie, R. R.",,Omaha Public Library
TMI04346,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in thirds. Letter.,,1898-06-02,2 June 1898,manuscript,5 7/16 x 8 3/8 in.,"George, J. S.",,Omaha Public Library
TMI04347,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in quarters. Telegram.,,1898-05-30,30 May 1898,typescript,7 15/16 x 5 1/8 in.,"Hughitt, Marvin",,Omaha Public Library
TMI04348,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in thirds. Letter.,,1898-06-02,2 June 1898,typescript,8 1/4 x 5 7/16 in.,"Willard, F. A.",,Omaha Public Library
TMI04349,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in sixths. Letter.,,1898-05-31,31 May 1898,typescript,7 15/16 x 10 7/16 in.,"Walker, Aldace F.",,Omaha Public Library
TMI04350,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in sixths. Letter.,,1898-05-26,26 May 1898,typescript,8 x 10 3/8 in.,"Player, John",,Omaha Public Library
TMI04351,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in sixths. Letter.,,1898-05-28,28 May 1898,typescript,7 15/16 x 10 7/16 in.,"Morton, Paul",,Omaha Public Library
TMI04352,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in half. Letter.,,1898-05-27,27 May 1898,manuscript,4 7/8 x 7 7/8 in.,"Collins, A. G.",,Omaha Public Library
TMI04353,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in sixths. Letter.,,1898-05-25,25 May 1898,typescript,5 1/2 x 7 1/2 in.,"Peck, George R.",,Omaha Public Library
TMI04354,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in thirds. Letter.,,1898-06-02,2 June 1898,manuscript,4 7/8 x 7 7/8 in.,"Collins, A. G.",,Omaha Public Library
TMI04355,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in thirds. Letter.,,1898-05-31,31 May 1898,typescript,8 x 5 1/4 in.,,,Omaha Public Library
TMI04356,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in thirds. Letter.,,1898-05-31,31 May 1898,typescript,8 x 5 1/4 in.,"Nash, F. A.",,Omaha Public Library
TMI04357,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in sixths. Letter.,,1898-05-30,30 May 1898,typescript,8 x 10 3/8 in.,,,Omaha Public Library
TMI04358,Opening Exercises RSVP,memorabilia,invitations,,,2,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in sixths. Letter.,,1898-06-06,6 June 1898,typescript,8 1/4 x 10 3/4 in.,"Lomax, E. L.",,Omaha Public Library
TMI04359,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in thirds. Letter.,,1898-05-31,31 May 1898,typescript,8 1/4 x 10 3/4 in.,"Johnson, H. A.",,Omaha Public Library
TMI04360,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in sixths. Letter.,,1898-05-18,18 May 1898,typescript,8 5/16 x 10 15/16 in.,"Dickinson, E.",,Omaha Public Library
TMI04361,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in sixths. Letter.,,1898-06-01,1 June 1898,typescript,8 3/16 x 5 1/2 in.,"Judah, H. R.",,Omaha Public Library
TMI04362,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in sixths. Letter.,,1898-06-02,2 June 1898,typescript,8 1/8 x 5 1/2 in.,"Donaldson, R. A.",,Omaha Public Library
TMI04363,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in sixths. Letter.,,1898-05-31,31 May 1898,typescript,8 1/4 x 11 in.,"Ramsey, J. Jr.",,Omaha Public Library
TMI04364,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in sixths. Letter.,,1898-05-26,26 May 1898,typescript,8 1/8 x 10 3/8 in.,"Wells, Edgar T.",,Omaha Public Library
TMI04365,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in sixths. Letter.,,1898-06-01,1 June 1898,typescript,8 7/16 x 5 7/16 in.,"Harmon, F. A.",,Omaha Public Library
TMI04366,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in sixths. Letter.,,1898-05-20,20 May 1898,typescript,7 7/8 x 10 5/16 in.,"Bidwell, George F.",,Omaha Public Library
TMI04367,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitation. 1 sheet previously folded in sixths.s; Railroad Officials. Letter.,,1898-06-01,1 June 1898,typescript,8 1/16 x 5 1/2 in.,"Payne, B. H.",,Omaha Public Library
TMI04368,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in sixths. Letter.,,1898-05-31,31 May 1898,typescript,8 x 10 15/16 in.,,,Omaha Public Library
TMI04369,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in sixths. Letter.,,1898-06-01,1 June 1898,typescript,8 x 10 7/8 in.,"Krake, H. G.",,Omaha Public Library
TMI04370,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in sixths. Letter.,,1898-05-25,25 May 1898,typescript,8 x 10 15/16 in.,"Townsend, H. C.",,Omaha Public Library
TMI04371,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in sixths.  Letter.,,1898-05-30,30 May 1898,typescript,8 x 10 7/8 in.,"Phillippi, J. O.",,Omaha Public Library
TMI04372,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in sixths.  Letter.,,1898-06-02,2 June 1898,typescript,8 x 10 7/8 in.,"Clark, H. G.",,Omaha Public Library
TMI04373,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in sixths.  Letter.,,1898-05-27,27 May 1898,typescript,8 x 10 7/8 in.,"Stith, W. C.",,Omaha Public Library
TMI04374,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in sixths.  Letter.,,1898-05-31,31 May 1898,typescript,8 x 10 7/8 in.,"Stith, W. C.",,Omaha Public Library
TMI04375,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in sixths.  Letter.,,1898-06-03,3 June 1898,typescript,8 5/16 x 10 7/8 in.,"Warner, C. G.",,Omaha Public Library
TMI04376,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in sixths.  Letter.,,1898-06-01,1 June 1898,typescript,8 7/16 x 10 3/4 in.,"MacRae, G. H.",,Omaha Public Library
TMI04377,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in thirds. Letter.,,1898-06-01,1 June 1898,typescript,8 3/8 x 10 7/8 in.,"Pearce, H. M.",,Omaha Public Library
TMI04378,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in sixths.  Letter.,,1898-05-31,31 May 1898,typescript,8 3/8 x 10 13/16 in.,"Ober, E. B.",,Omaha Public Library
TMI04379,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in half. Letter.,,1898-06-02,2 June 1898,typescript,5 1/2 x 8 7/16 in.,"Truesdale, W. H.",,Omaha Public Library
TMI04380,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in sixths. Letter.,,1898-05-31,31 May 1898,manuscript,8 1/2 x 10 15/16 in.,,,Omaha Public Library
TMI04381,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in sixths. Letter.,,1898-06-01,1 June 1898,typescript,8 x 10 1/2 in.,"Gower, H.",,Omaha Public Library
TMI04382,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in sixths. Letter.,,1898-06-02,2 June 1898,typescript,8 x 10 1/2 in.,"Oglesby, J. E.",,Omaha Public Library
TMI04383,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in thirds. Letter.,,1898-05-25,25 May 1898,typescript,8 3/16 x 5 5/16 in.,,,Omaha Public Library
TMI04384,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in sixths. Letter.,,1898-05-30,30 May 1898,manuscript,8 1/4 x 10 3/4 in.,"Vallery, G. W.",,Omaha Public Library
TMI04385,Opening Exercises RSVP,memorabilia,invitations,,,2,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in sixths. Letter.,,1898-06-02,2 June 1898,typescript,8 1/4 x 10 11/16 in.,"Eustis, P. S.",,Omaha Public Library
TMI04386,Opening Exercises RSVP,memorabilia,invitations,,,,"Opening Day Invitations, Railroad Officials. 1 sheet previously folded in thirds. Letter.",,1898-05-30,30 May 1898,typescript,8 1/4 x 10 3/4 in.,"Brown, W. C.",,Omaha Public Library
TMI04387,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Railroad Officials. 1 sheet previously folded in sixths. Letter.,,1898-05-31,31 May 1898,typescript,8 1/8 x 10 5/8 in.,"McMillan, W. F.",,Omaha Public Library
TMI04388,Thank you for Complimentary Passes from  David H. Mercer,memorabilia,invitations,,,,Invitations to Exposition; U. S. Representative - Nebraska. 1 sheet previously folded in thirds. Letter.,,1898-06-01,1 June 1898,typescript,8 1/16 x 10 9/16 in.,"Mercer, David H.",,Omaha Public Library
TMI04389,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; U. S. Senator - Nebraska. 1 sheet previously folded in thirds. Letter.,,1898-05-13,13 May 1898,typescript,7 3/4 x 9 3/4 in.,"Thurston, John M.",,Omaha Public Library
TMI04390,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; U. S. Senator - Nebraska. 1 sheet previously folded in sixths. Letter.,,1898-05-19,19 May 1898,typescript,8 x 10 1/2 in.,"Allen, William V.",,Omaha Public Library
TMI04391,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; U. S. Senator - Nebraska. 1 sheet previously folded in sixths. Letter.,,1898-05-27,27 May 1898,typescript,8 x 10 1/2 in.,"Allen, William V.",,Omaha Public Library
TMI04392,Thank you for Complimentary Passes from Robert Lincoln,memorabilia,invitations,,,,Invitations to Exhibition. 1 sheet previously folded in quarters. Letter.,,1898-06-06,6 June 1898,typescript,9 3/4 x 7 7/8 in.,"Lincoln, Robert",,Omaha Public Library
TMI04393,Thank you for Complimentary Passes from U.S. & Britich Joint High Commissioner,memorabilia,invitations,,,,Invitations to Exhibition; U.S. High Commissioner. 1 sheet preivously folded in quarters.  Letter.,,1898-08-25,25 August 1898,typescript,7 7/8 x 10 in.,"Fairbanks, Charles W.",,Omaha Public Library
TMI04394,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; U. S. Senator - Massachusetts. 1 sheet previously folded in sixths.  Letter.,,1898-05-10,10 May 1898,typescript,8 x 10 1/2 in.,"Lodge, H. C.",,Omaha Public Library
TMI04395,RSVP from U.S. Senator - Massachusetts,memorabilia,invitations,,,,Government Day Invitations; U. S. Senator - Massachusetts. 1 sheet previously folded in sixths. Letter.,,1898-08-24,24 August 1898,typescript,7 15/16 x 10 3/8 in.,"Lodge, H. C.",,Omaha Public Library
TMI04396,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; U. S. Representative - New York. 1 sheet previously folded in thirds.  Letter.,,1898-05-16,16 May 1898,typescript,8 1/8 x 5 1/4 in.,"McClellan, George B.",,Omaha Public Library
TMI04397,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Architect - Mines & Mining Bldg. 1 sheet previously folded in quarters.  Letter.,,1898-05-31,31 May 1898,manuscript,7 15/16 x 10 in.,"Beman, S. S.",,Omaha Public Library
TMI04398,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Surveyor of Customs. 1 sheet previously folded in thirds.  Letter.,,1898-05-11,11 May 1898,manuscript,8 x 10 1/16 in.,"Miller, George L.",,Omaha Public Library
TMI04399,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations. 1 sheet previously folded in sixths.  Letter.,,1898-05-30,30 May 1898,manuscript,8 1/4 x 10 7/8 in.,"Palmer, Potter",,Omaha Public Library
TMI04400,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations;  Official Banquet. 1 sheet previously folded in quarters. Telegram.,,1898-05-30,30 May 1898,typescript,8 x 5 3/16 in.,"Bryan, William Jennings",,Omaha Public Library
TMI04401,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; U. S. Senate. 1 sheet previously folded in quarters. Telegram.,,1898-05-30,30 May 1898,typescript,8 x 8 5 3/16 in.,"Allen, William V.",,Omaha Public Library
TMI04402,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations. 1 sheet previously folded in thirds.  Letter.,,1898-05-31,31 May 1898,manuscript,5 1/4 x 10 1/8 in.,"Walker, C. Howard",,Omaha Public Library
TMI04403,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitations; Vice-President - Trans-Mississippi Exposition. 1 sheet previously folded in thirds.  Letter.,,1898-05-31,31 May 1898,manuscript,5 3/4 x 9 in.,"Saunders, Alvin",,Omaha Public Library
TMI04404,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Invitatons; Nebraska - Former Governor. 1 sheet previously folded in thirds.  Letter.,,1898-05-11,11 May 1898,typescript,5 15/16 x 9 3/4 in.,"Furnas, Robert W.",,Omaha Public Library
TMI04405,Letter Regarding Manhattan Press-Clippings Bureau,memorabilia,correspondence,,,,Manhattan Press Clipping Bureau. 1 sheet previously folded in sixths.  Letter.,,1898-06-02,2 June 1898,manuscript,8 7/16 x 11 in.,"Cassot, Arthur",,Omaha Public Library
TMI04406,Manhattan Press-Clipping Bureau,memorabilia,news clippings,,,2,Manhattan Press Clipping Bureau - Form. 1 sheet previously folded in quarters. Form.,,,,printed,6 1/16 x 9 1/2 in.,,,Omaha Public Library
TMI04407,Press Clippings - Omaha Exposition Opened,memorabilia,news clippings,,,2,Opening Day; Manhattan Press-Clipping Bureau. Clippings with Manhattan Press-Clipping Bureau sheet attached. Clippings.,,1898-06-02,2 June 1898,printed,2 1/2 x 9 3/4; 2 3/4 x 12 3/16 in.,,,Omaha Public Library
TMI04408,Letter from Samuel F. Riccolls Regarding Opening Day Prayer,memorabilia,invitations,,,,Opening Day Invitations; Opening Prayer. 1 sheet previously folded in thirds.  Letter.,,1898-04-20,20 April 1898,manuscript,5 1/8 x 8 5/16 in.,"Riccolls, S. F.",,Omaha Public Library
TMI04409,Thank you for Invitation and Appointment of Representative Committee from U.S. Senate,memorabilia,invitations,,,,U. S. Senate Certificate of Appreciation. 1 sheet previously folded in quarters.,,1898-08-08,8 August 1898,printed,8 11/16 x 12 11/16 in.,,,Omaha Public Library
TMI04410,Resignation of Gurdon W. Wattles from the Exposition Board,memorabilia,wattles investigation,,,9,"Wattles, Gurdon W. - Aspersions on Character; Wattles' Resignation. 9 sheets previously folded in thirds. Letter.",,1897-10-19,19 October 1898,typescript,8 1/2 x 11 in.,"Wattles, Gurdon W.",Gurdon W. Wattles,Omaha Public Library
TMI04411,Opening Day Address,memorabilia,administrative documents,,,7,"Manuscript of Opening Day Address by Gurdon W. Wattles. 7 sheets previously folded in thirds. Transcription of text in Haynes History, pages 337-340.","speech,Opening Day,Wattles",1898-06-01,1 June 1898,typescript,8 1/2 x 10 in.,"Wattles, Gurdon W.",,Omaha Public Library
TMI04412,Memorandum of Agreement,memorabilia,administrative documents,,Indian Congress,2,11; 2 sheets previously folded in thirds; contract.,,1898-06-28,28 June 1898,typescript,8 1/2 x 11 in.,,,Omaha Public Library
TMI04413,"Letter Outlining Reception Committee Duties for ""President's Day""",memorabilia,correspondence,,,5,Reception Committee Responsibilities for President McKinley's visit during Peace Jubilee week. 5 sheets previously folded in thirds. Letter.,,1898-10-10,10 October 1898,typescript,8 3/8 x 10 15/16 in.,"Wattles, Gurdon W.",,Omaha Public Library
TMI04414,"Reception Committee Assignments for ""President's Day""--with notes",memorabilia,administrative documents,,,10,Reception Committee Assignments for President McKinley's visit during Peace Jubilee week. 10 sheets previously folded in thirds.,,1898-10-10,10 October 1898,typescript,8 3/8 x 10 15/16 in.,,,Omaha Public Library
TMI04415,List of Special Days at the Trans-Mississippi and International Exposition,memorabilia,administrative documents,,,3,Special Days. 3 sheets previously folded in thirds.,,1899-04-15,15 April 1899,typescript,8 1/4 x 10 7/8 in.,,,Omaha Public Library
TMI04416,"Statistics of Admissions; The Centennial Expositon, Philadelphia Penn., 1876",memorabilia,administrative documents,,,7,"Philadelphia Centennial Exposition - Admissions; Philadelphia Centennial Exposition, Philadelphia, Pennsylvannia, 1876. Receipts. 7 sheets previously folded in quarters.",,,,typescript,7 15/16 x 12 15/16 in.,,,Omaha Public Library
TMI04417,"Statistics and other information; World's Industrial Cotton Centennial Exposition, 1884",memorabilia,administrative documents,,,8,"World's Industrial and Cotton Centennial Exposition - New Orleans, Louisiana - Nebraska Exhibit and Nebraska Day. 8 sheets previously folded in quarters.",,,,typescript,8 1/2 x 12 7/8 in.,,,Omaha Public Library
TMI04418,"Financial Statements from World's Columbian Exposition, Chicago, 1893,  and Atlanta Exposition, 1895",memorabilia,administrative documents,,,4,"Financial statements from World's Columbian Exposition, Chicago, Illinois - 1893 and Atlanta Exposition, Atlanta, Georgia, 1895. 4 sheets previously folded in quarters.",,,,typescript,7 15/16 x 12 15/16 in.,,,Omaha Public Library
TMI04419,Estimated Financial Statement,memorabilia,administrative documents,,,3,Estimated Financial Statement. 3 sheets previously folded in quarters.,,,,typescript,8 5/16 x 12 7/8 in.,,,Omaha Public Library
TMI04420,Congratulatory Letter from James M. Beck,memorabilia,correspondence,,,,Congratulations on Exposition. 1 sheet previously folded in sixths.  Letter.,,1898-11-02,2 November 1898,typescript,7 15/16 x 10 15/16 in.,"Beck, James M.",,Omaha Public Library
TMI04421,Congratulatory Letter from Victor B. Caldwell,memorabilia,correspondence,,,,Congratulations on Exposition. 1 sheet previously folded in quarters.  Letter.,,1898-11-03,3 November 1898,manuscript,9 7/8 x 7 7/8 in.,"Caldwell, Victor B.",,Omaha Public Library
TMI04422,Congratulatory letter from William S. Poppleton,memorabilia,correspondence,,,,Congratulations on Exposition. 1 sheet previously folded in sixths. Letter.,,1898-10-18,18 October 1898,manuscript,8 1/4 x 10 3/4 in.,"Poppleton, William S.",,Omaha Public Library
TMI04423,Thank You Letter from Massachusetts Senator Parsons,memorabilia,correspondence,,,,Thank-you Letter; Massachusetts State Senator. 1 sheet previously folded in sixths with envelope.  Letter.,,1898-07-19,19 July 1898,typescript,9 5/8 x 7 7/8 in.,"Parsons, Henry",,Omaha Public Library
TMI04424,Thank You Letter from Massachusetts Senator Smith,memorabilia,correspondence,,,,Thank-you Letter; Massachusetts State Senator. 1 sheet previously folded in sixths.  Letter.,,1898-07-22,22 July 1898,typescript,8 x 9 7/8 in.,"Smith, George E.",,Omaha Public Library
TMI04425,Thank You Letter from Massachusetts Senate Sergeant-at-Arms,memorabilia,correspondence,,,,Thank-you Letter; Massachusetts State Senate - Sergeant-at-Arms. 1 sheet previously folded in sixths.  Letter.,,1898-07-18,18 July 1898,typescript,7 13/16 x 10 3/8 in.,,,Omaha Public Library
TMI04426,Opening Exercises RSVP,memorabilia,invitations,,,,Opening Day Presidential Message. 1 sheet previously folded in twelfths.  Letter.,,1898-06-01,1 June 1898,typescript,8 1/2 x 10 15/16 in.,"McKinley, President William",,Omaha Public Library
TMI04427,Thank you from Surveyor of Customs,memorabilia,invitations,,,,Opening Day Address - Comments; Surveyor of Customs. 1 sheet previously folded in sixths.  Letter.,,1898-06-01,1 June 1898,manuscript,7 15/16 x 10 in.,"Miller, George L.",,Omaha Public Library
TMI04428,Congratulatory letter from the President,memorabilia,correspondence,,,,Congratulations on Exhibition; Request for Photographs; Thank-you Letter; President William McKinley. 1 sheet previously folded in quarters.,,1898-11-01,1 November 1898,typescript,8 7/8 x 6 7/8 in.,"Porter, J. A.",,Omaha Public Library
TMI04429,Inviation to Peace Jubilee Celebration,memorabilia,invitations,,,,Peace Jubilee Celebration Invitation. 1 sheet previously folded in half with envelope.,,,,printed,7 1/2 x 10 in.,"Wattles, Gurdon W.",,Omaha Public Library
TMI04430,Invitation to Trans-Mississippi and International Exposition,memorabilia,invitations,,,,Trans-Mississippi and International Exposition Invitation. 1 sheet previously folded in half with envelope.,,1898-06-01,1 June 1898,printed,6 3/4 x 9 5/16 in.,"Wattles, Gurdon W.",,Omaha Public Library
